Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-02-24,530.3344127954489,542.111641785324,530.3344127954489,534.0640258789062,1375400,0.0,0.0
2025-02-25,533.306175642671,539.7482739510816,530.8330760076775,538.052978515625,1888700,0.0,0.0
2025-02-26,540.2268874038378,542.3410003471137,529.4768294223663,531.810302734375,1330500,0.0,0.0
2025-02-27,528.629193335592,531.5411355095354,517.689659227336,521.7782592773438,1539000,0.0,0.0
2025-02-28,526.7943006508384,528.5793122089029,519.1356168666225,527.4923706054688,2229300,0.0,0.0
2025-03-03,529.4469031999516,531.0025724212715,518.1882501143996,522.1871337890625,2330300,0.0,0.0
2025-03-04,521.5688963827032,523.3937752099565,511.03819762020447,515.1367797851562,2720100,0.0,0.0
2025-03-05,511.45697862981814,523.4535687904291,510.7389446767046,522.735595703125,1685200,0.0,0.0
2025-03-06,521.9876059823612,532.5282845561248,519.8934572287079,526.1759643554688,1852900,0.0,0.0
2025-03-07,523.2640845131375,531.501176084643,517.8591398685504,530.2347412109375,1799000,0.0,0.0
2025-03-10,524.8198630372941,534.7223049046542,523.8923897644746,525.33837890625,2174000,0.0,0.0
2025-03-11,523.7228308996467,525.2984640819901,507.99659721847286,512.7733154296875,1864100,0.0,0.0
2025-03-12,515.2563993586225,519.245300997315,510.38993449015317,511.2276306152344,1412300,0.0,0.0
2025-03-13,510.5794114586941,515.0469618318988,506.9395447878058,507.4880065917969,1574500,0.0,0.0
2025-03-14,509.01509212795537,522.8882729273766,507.72757483709404,521.0418090820312,1745600,0.43,0.0
2025-03-17,521.7204598116437,524.7046756366316,513.676028098392,518.5665893554688,1670400,0.0,0.0
2025-03-18,517.6483872846441,521.1316375139376,512.1490186645024,520.4928588867188,1232000,0.0,0.0
2025-03-19,519.4448515153829,521.4908801055474,512.4283995245788,517.4087524414062,1603200,0.0,0.0
2025-03-20,517.4986224606639,519.6345041050458,512.0691262801231,517.6383666992188,1537100,0.0,0.0
2025-03-21,515.2629514735837,517.6083885273868,509.01503172951186,516.7200927734375,2192300,0.0,0.0
2025-03-24,519.7841698934407,525.7825724527788,516.1312653003677,518.8959350585938,1100000,0.0,0.0
2025-03-25,520.4728438767994,522.2294545277823,509.9332713468199,513.3466796875,1170700,0.0,0.0
2025-03-26,513.3566579830331,516.9996334349615,510.3624820704304,512.677978515625,1216100,0.0,0.0
2025-03-27,512.997339319511,514.3347782279197,507.0787990314543,510.6918029785156,1249700,0.0,0.0
2025-03-28,511.61999873312334,512.3785407171613,498.435519295259,499.1940612792969,1787700,0.0,0.0
2025-03-31,495.54112587047314,499.65316417651934,483.33473430234966,496.6390075683594,2915800,0.0,0.0
2025-04-01,494.6029437806032,495.5511212697873,480.2806512286721,482.0372619628906,1837600,0.0,0.0
2025-04-02,479.57201283602814,490.4110243540689,478.6737570930996,488.115478515625,2068700,0.0,0.0
2025-04-03,480.95936463332464,484.97159004384514,467.26586016282437,469.12225341796875,2813600,0.0,0.0
2025-04-04,460.59874882944337,463.21368414429804,436.3756306462639,437.0643005371094,3894200,0.0,0.0
2025-04-07,416.9631653205139,452.46447760815823,410.41583684202766,437.02435302734375,4076300,0.0,0.0
2025-04-08,450.28871004770946,453.25297551374166,412.53175141175234,418.5002136230469,3929200,0.0,0.0
2025-04-09,413.829253324761,454.1512249901552,409.0584858876847,452.674072265625,4597700,0.0,0.0
2025-04-10,445.5378766149349,447.7336400124472,414.5079233404239,426.614501953125,3902400,0.0,0.0
2025-04-11,429.1595581002237,439.87883683827783,419.1888613589506,437.3038024902344,2657400,0.0,0.0
2025-04-14,447.1347707717756,449.96928218145285,441.14635866322504,448.4621887207031,2370500,0.0,0.0
2025-04-15,446.7255847875341,449.40040170728247,437.56332104172463,440.1483154296875,2545900,0.0,0.0
2025-04-16,440.47768251166195,445.0787954388674,434.5192106599957,435.94647216796875,1823500,0.0,0.0
2025-04-17,433.7007897527202,435.1779119635491,424.22909689600533,426.67437744140625,3038300,0.0,0.0
2025-04-21,424.6782229068693,425.67629158585135,415.8153681641263,421.0352783203125,2314800,0.0,0.0
2025-04-22,428.9699096002035,436.1660067655567,425.68628554934355,433.8904113769531,3677800,0.0,0.0
2025-04-23,455.66826147077705,460.718486752168,428.5906827098747,430.806396484375,3492200,0.0,0.0
2025-04-24,429.1695443642511,431.6247848570786,416.9831339701412,425.83599853515625,3662400,0.0,0.0
2025-04-25,425.297028320743,425.895875630711,416.0150016214771,423.420654296875,2698300,0.0,0.0
